Name,SD7037-092-88
Chord(mm),175
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
175.000000,0.000000
174.426000,0.073500
172.737250,0.315000
170.005500,0.763000
166.321750,1.419250
161.787500,2.266250
156.493750,3.263750
150.526250,4.357500
143.956750,5.496750
136.851750,6.629000
129.263750,7.722750
121.264500,8.769250
112.943250,9.751000
104.396250,10.648750
95.712750,11.441500
86.985500,12.104750
78.303750,12.619250
69.758500,12.967500
61.426750,13.132000
53.389000,13.104000
45.718750,12.876500
38.480750,12.447750
31.739750,11.819500
25.551750,11.000500
19.967500,10.001250
15.025500,8.835750
10.755500,7.525000
7.178500,6.100500
4.308500,4.606000
2.156000,3.097500
0.731500,1.638000
0.036750,0.323750
0.222250,-0.687750
1.410500,-1.468250
3.566500,-2.147250
6.650000,-2.696750
10.629500,-3.109750
15.477000,-3.384500
21.147000,-3.529750
27.588750,-3.556000
34.737500,-3.477250
42.518000,-3.309250
50.846250,-3.069500
59.624250,-2.775500
68.754000,-2.443000
78.125250,-2.082500
87.629500,-1.708000
97.158250,-1.330000
106.599500,-0.960750
115.844750,-0.610750
124.783750,-0.294000
133.311500,-0.024500
141.316000,0.182000
148.687000,0.318500
155.323000,0.385000
161.124250,0.381500
166.003250,0.323750
169.884750,0.231000
172.707500,0.124250
174.424250,0.036750
175.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.731500,1.638000
2.156000,0.697233
4.308500,1.163260
7.178500,1.674451
10.755500,2.204054
15.025500,2.738420
19.967500,3.250858
25.551750,3.726400
31.739750,4.154614
38.480750,4.525663
45.718750,4.829696
53.389000,5.059832
61.426750,5.211073
69.758500,5.281571
78.303750,5.271892
86.985500,5.185687
95.712750,5.027079
104.396250,4.800915
112.943250,4.515204
121.264500,4.175273
129.263750,3.785165
136.851750,3.347916
143.956750,2.863826
150.526250,2.347216
156.493750,1.824022
161.787500,1.319950
166.321750,0.867695
170.005500,0.494717
172.737250,0.218867
174.426000,0.055069
175.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
175.000000,0.000000
